Client,MB up,MB down
00:0e:35:4a:da:c3,6,52
00:15:af:6a:64:ec,24,102
00:15:af:80:93:d3,7,316
00:16:6f:35:25:2c,34,181
00:16:6f:b2:76:62,31,271
00:16:ea:37:c5:04,11,141
00:16:ea:b5:d9:42,6,46
00:17:c4:0e:42:82,7,65
00:18:41:e1:74:bc,18,146
00:19:e3:07:1d:bb,11,94
00:19:e3:07:23:61,96,758
00:1b:63:03:3d:9f,84,518
00:1b:77:29:7c:19,351,233
00:1c:b3:b7:74:d1,3,22
00:1c:b3:bc:07:43,44,296
00:1c:b3:c6:bd:c9,57,426
00:1c:bf:7f:29:e5,125,419
00:1c:bf:b1:31:d8,18,86
00:1c:df:5c:00:3d,26,132
00:1d:e0:6a:b9:43,11,83
00:1e:52:72:d6:47,10,70
00:1e:c2:a6:4d:85,141,196
00:1f:3b:08:11:0f,11,445
00:1f:3b:2e:6d:99,3,85
00:1f:3b:7a:0e:c5,0,0
00:1f:3b:ca:a9:b3,30,579
00:1f:e2:d0:e9:49,0,1
00:21:00:f2:4a:75,0,0
00:21:5c:53:57:ad,13,51
00:21:63:39:3a:55,21,172
00:21:6a:68:41:5a,12,59
00:21:6b:49:51:86,31,220
00:22:43:0a:fe:ad,1,11
00:22:68:c3:b2:4b,1,5
00:22:fa:f8:e8:5e,84,1247
00:22:fb:10:ed:7e,92,470
00:22:fb:13:e0:3a,15,123
00:22:fb:4f:84:c2,35,323
00:22:fb:78:0d:d4,32,225
00:22:fb:92:96:d0,6,45
00:23:14:b9:ef:68,1,9
00:23:4d:59:6f:46,4,57
00:23:76:1d:58:06,4,17
00:23:76:98:f1:36,0,0
00:23:76:99:51:f0,64,605
00:23:76:99:ad:33,57,898
00:23:76:d4:b2:6a,97,1070
00:23:df:5c:eb:37,52,452
00:24:2c:13:b7:13,7,55
00:24:d2:31:5f:8f,0,1
00:25:00:33:1f:eb,32,593
00:25:00:43:e1:83,17,73
00:25:00:4d:bc:f9,0,0
00:25:48:30:1b:3d,0,0
00:25:4b:86:d5:10,25,290
00:25:d3:37:de:4b,25,106
00:25:d3:67:c4:0a,0,0
00:25:d3:c9:09:13,27,155
00:25:d3:d1:59:4c,25,199
00:25:d3:d4:1d:3e,17,86
00:26:08:e0:e1:00,1,6
00:26:5e:12:91:f4,1,29
00:26:5e:f9:68:1d,40,172
00:26:82:3c:b9:74,20,113
00:26:82:69:5a:b7,53,239
00:26:82:8d:2d:a7,6,83
00:26:82:d1:60:c5,11,57
00:26:82:ea:20:e8,0,1
00:26:b0:a5:f2:b6,54,188
00:26:b0:a9:c9:d8,58,522
00:27:10:11:80:0c,109,316
00:27:10:44:c7:ec,0,1
00:90:4c:b7:ce:1a,99,1004
00:bd:3a:e5:9a:9e,0,0
00:e0:4c:a9:08:36,0,0
04:0c:ce:d3:64:94,18,74
04:0c:ce:e2:53:2c,60,385
04:18:0f:07:76:9f,21,119
04:46:65:78:7d:23,2,61
